position	mean_0	mean_1	var_0	var_1
0	-4.64386415	0.38352305	0.11632951	0.43778148
1	-3.77251768	0.92483139	0.27237329	0.34705907
2	-7.80425882	0.55815381	0.84428853	0.53655070
3	-6.91511536	0.96644068	0.74813372	0.18409044
4	-6.63208675	1.07536924	0.39384300	0.31363001
5	-8.24189377	0.36708289	0.32832342	0.32134771
6	-4.75098944	0.45179310	0.17531814	0.21975115
7	-9.05664635	0.83524978	0.61834961	0.46079704
8	-8.23140144	0.57784665	0.29907596	0.21200344
9	-7.63785172	0.99295795	0.44560093	0.10625280
10	-5.35311794	0.80818015	0.18675981	0.25448483
11	-8.33497715	0.93127477	0.28342053	0.53860056
12	-5.78227472	0.83797675	0.23015298	0.37900031
13	-6.11500883	1.23457694	0.34353250	0.28404668
14	-5.33415174	0.72350228	0.51712936	0.27988660
15	-7.04407024	0.96118391	0.86188912	0.36767522
16	-9.09267712	0.96912134	0.83646113	0.25556427
17	-5.84677601	0.88736212	0.52810287	0.11130921
18	-4.89905834	0.76508075	0.13295931	0.18263794
19	2.88963628	0.32277435	0.17994754	0.28292555
20	-5.21105385	1.51097083	0.53597558	0.31718689
21	-6.00337267	0.76432860	0.82043761	0.21069592
22	3.24780154	0.80931282	0.24301711	0.45450366
23	-4.67339993	0.74037373	0.16598091	0.31392398
24	-6.75117207	0.71945781	0.69272113	0.64262372
25	-5.91051722	0.84950620	0.66945910	0.24687435
26	-6.13757706	0.74934584	0.49428102	0.38464791
27	-6.40381336	1.19703984	0.32835719	0.48665670
28	-6.67249155	0.57894981	0.33794823	0.26246858
29	-5.01937151	0.91290343	0.39292398	0.48989069
30	3.99348068	1.16343343	0.23618077	0.22550075
31	-6.24757957	0.90910625	0.33147234	0.38186499
32	-6.85042429	0.79088056	0.34534296	0.18294346
33	3.31075287	1.19844878	0.61625016	0.31840697
34	-6.44276190	1.00234044	0.55437785	0.57516199
35	-4.51071453	0.86267680	0.25572380	0.40865332
36	-6.51289606	0.80815589	0.23515040	0.15939490
37	-5.94166660	0.70326447	0.68307424	0.82115203
38	-4.50490093	0.70868778	0.35411242	0.25294730
39	-7.63033056	1.06491506	0.57255584	0.16455600
40	-5.60905170	0.83893394	0.35063192	0.33211872
41	-6.76345348	1.10239196	0.15718669	0.18210480
42	-5.23819542	0.83929747	0.35568938	0.26607469
43	-5.47196722	0.69215071	0.43927899	0.23180470
44	-4.88883686	0.74930400	0.22162281	0.19867241
45	-4.63777637	0.68566716	0.34452152	0.35463804
46	3.10421610	0.93504745	0.21106757	0.13483599
47	-4.18979216	0.69658142	0.35350400	0.67660165
48	-5.69839191	1.18023777	0.35391468	0.27673408
49	-3.50469637	0.77775872	0.30757377	0.19402164
50	-5.15121126	0.87982750	0.52310783	0.54137313
51	-4.75580692	0.28476772	0.49783581	0.45525026
52	-5.84758711	0.31878036	0.33957845	0.21766120
53	-6.16519642	0.62152469	0.13470125	0.53575367
54	-9.04080296	0.90467864	0.10861776	0.21307264
55	-8.16413689	1.09970307	0.42846397	0.24523935
56	-7.62466145	0.74112368	0.44017416	0.50016594
57	-7.70060968	0.61592937	0.56943601	0.47763166
58	-5.12325191	0.29517594	0.30646479	0.18542844
59	-4.93064022	1.08905959	0.32149881	0.18233699
60	-4.80400944	0.99833357	0.27593160	0.28845903
61	-6.55506134	1.26827085	0.56603491	0.43777448
62	-6.07117701	0.89057904	0.39232588	0.30103037
63	-4.41049385	0.86597311	0.61758131	0.13067320
